id,Type,Name,Grade,District,Lat,Lon,Reviewer_Nationality
99,Restaurants,DISLIN ITALIAN RESTAURANT,A,Colombo,79.888881,6.790527,United Kingdom
100,Restaurants,GREEN BAMBOO RESTURANT,B,Kalutara,80.16667,6.58333,Ireland
101,Restaurants,DINESH RESTAURANT,A,Kurunegala,80.366868,7.486218,United Kingdom
102,Restaurants,GREEN CHARIOT RESTAURANT,B,Kandy,80.57027436,7.163648765,United Kingdom
103,Restaurants,SUEHIRO LANKA RESTAURANT,A,Kurunegala,80.366868,7.486218,Netherlands
104,Restaurants,E.T.S. FOODS,A,Colombo,80.01667,6.86667,Australia
105,Restaurants,EAT ME CHINESEE RESTAURANT,A,Kandy,80.625828,7.295044,United Kingdom
106,Restaurants,GREEN GARDEN CHAINSSE RESTAURANT,A,Colombo,79.96523447,6.841388419,United States of America
107,Restaurants,GREEN VIEW CHAINESE RESTAURANT,A,Moneragala,81.10183588,6.731780406,Canada
108,Restaurants,GOODIES KITCHEN,A,Colombo,79.866418,6.842919,United States of America
109,Restaurants,FARM HOUSE RESTAURANT,A,Galle,80.223192,6.043279,United Kingdom
110,Restaurants,FLORA REGION RESTAURANT,A,Moneragala,81.10183588,6.731780406,United Kingdom
111,Restaurants,GIHANS CHINESEE RESTAURANT,A,Colombo,79.893438,6.877014,South Africa
112,Restaurants,FLOWER DRUM RESTAURANT,A,Colombo,79.913892,6.897711,United States of America
113,Restaurants,FLOWER CITY CHINESE GUEST HOUSE AND RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
114,Restaurants,FLOWER DRUM,A,Colombo,80.01667,6.86667,United Kingdom
115,Restaurants,MANGALA RECEPTION HALL & CHINESE RESTAURANT,A,Gampaha,79.92739077,6.978059805,United Kingdom
116,Restaurants,GOLDEN MAID CHINESE RESTAURANT,A,Colombo,80.01667,6.86667,Netherlands
117,Restaurants,MAKRIN RESTAURANT AND BAKERY,A,Colombo,79.90170275,6.841059858,United Kingdom
118,Restaurants,PUBS N PLACES -THE SHORE BY O,A,Colombo,79.866418,6.842919,Canada
119,Restaurants,HESHAN RESTAURANT,B,Gampaha,79.916392,7.031163,United Kingdom
120,Restaurants,FOOD LIFE CONCEPTS,A,Kandy,80.625828,7.295044,Canada
121,Restaurants,NEW MAY FLOWER RESTAURANT,A,Colombo,79.893438,6.877014,United Kingdom
122,Restaurants,METHRA RESTAURANT,A,Colombo,79.893438,6.877014,United States of America
123,Restaurants,FLOWER SONG RESTAURANT,A,Kandy,80.625828,7.295044,Luxembourg
124,Restaurants,MALWARSHA TOURIST RESTAURANT,B,Kegalle,80.26591656,6.966559764,United Kingdom
125,Restaurants,FREE TOWN RESTAURANT,B,Anuradhapura,80.5,8.33333,Ireland
126,Restaurants,HAUS ATHULA RESTAURANT,A,Galle,80.223192,6.043279,United Kingdom
127,Restaurants,HARITHA RESTAURANT,A,Colombo,80.08171057,6.908836328,United Kingdom
128,Restaurants,JU CHUN YAN CHINESE RESTAURANT,B,Colombo,79.85081253,6.913526376,United Kingdom
129,Restaurants,HANGAR BAR,A,Gampaha,79.87166754,7.156773068,United States of America
130,Restaurants,FINGARA TOWN & COUNTRY CLUB,A,Colombo,79.94078857,6.795683175,United Kingdom
131,Restaurants,JOLLY RESTAURANT,A,Jaffna,80.00917182,9.664925571,United Kingdom
132,Restaurants,HAN GOOK GWAN- KOREAN RESTAURANT,B,Colombo,80.01667,6.86667,Netherlands
133,Restaurants,MLESNA TEA CASTLE,A,Nuwara Eliya,80.788197,6.960166,Norway
134,Restaurants,HALCYON BEACH,A,Gampaha,79.843249,7.206416,United Kingdom
135,Restaurants,JANAKALA AVANHALA,A,Kurunegala,80.366868,7.486218,Australia
136,Restaurants,H.S.RESTAURANT,A,Gampaha,79.894797,7.053406,Belgium
137,Restaurants,J.N.A RESTAURANT AND BAR,A,Gampaha,79.914926,6.951178,United Kingdom
138,Restaurants,J.L.H.BEACH RESTAURANT,A,Galle,80.223192,6.043279,United Kingdom
139,Restaurants,MOON RIVER CHINESE SEA FOOD RESTAURANT,A,Colombo,79.86960802,6.897904602,United Kingdom
140,Restaurants,MOSHI MOSHI INTERNATIONAL,A,Colombo,80.01667,6.86667,United Kingdom
141,Restaurants,MLESNA TEA FORTRESS RESTAURANT,A,Kandy,80.01667,6.86667,United Kingdom
142,Restaurants,NANKING DELIGHTS CHINESE RESTAURANT,A,Colombo,79.90606033,6.929658025,United Kingdom
143,Restaurants,NEBULA GARDENS,B,Galle,80.29806,6.25361,United Kingdom
144,Restaurants,NETHMINA RESTAURANT,B,Matara,80.56061799,6.342563726,Switzerland
145,Restaurants,PUBS AND PLACES - PANADURA,A,Kalutara,79.910472,6.714417,Spain
146,Restaurants,NEW CITY RESTAURANT,A,Colombo,79.88473526,6.867054459,United Kingdom
147,Restaurants,NEW SIGIRI RESTAURANT,A,Matale,80.746205,7.942106,United Kingdom
148,Restaurants,NEW SUNSHINE RESTAURANT,A,Gampaha,79.914926,6.951178,United Kingdom
149,Restaurants,NEW THISARA CHINESE RESTAURANT,A,Colombo,79.945297,6.834129,Ireland
150,Restaurants,NICAS RESTAURANT & BAR,A,Gampaha,80.03348605,7.085934943,United Kingdom
151,Restaurants,KUDOS RESTAURANT & BAR,A,Colombo,80.01667,6.86667,United Kingdom
152,Restaurants,NILAVELI VILLAGE RESTAURANT,A,Trincomalee,81.19193162,8.681333816,United Kingdom
153,Restaurants,NIMANSALA RESTAURANT,A,Colombo,80.00584169,6.84848797,Ireland
154,Restaurants,KOUCHI JAPANESE RESAURANT,A,Colombo,79.913892,6.897711,United Kingdom
155,Restaurants,NIPUNA RESTAURANT,A,Kegalle,80.34513535,7.25319971,Ireland
156,Restaurants,NIRMALA RESTAURANT,A,Kalutara,79.93051018,6.663972844,United States of America
157,Restaurants,PUBS AND PLACES - AMBALANGODA,A,Galle,80.062884,6.209759,United Kingdom
158,Restaurants,KINJOU CHINESE RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
159,Restaurants,KINGS COURT TOURIST RESORT,A,Kurunegala,80.32824607,7.419800251,Germany
160,Restaurants,KING PRAWN RESTAURANT,A,Colombo,80.01667,6.86667,Finland
161,Restaurants,RAFFLERS RESTAURANT,A,Colombo,80.01667,6.86667,United Kingdom
162,Restaurants,PARADISE ROAD THE GALLERY CAFE,A,Colombo,80.01667,6.86667,United Kingdom
163,Restaurants,NEW PARADISE TOURIST RESTAURANT,A,Kegalle,80.387154,7.268821,United Kingdom
164,Restaurants,SINHARA & COMPANY,A,Colombo,79.87489147,6.81773117,United Kingdom
165,Restaurants,THE CINNAMON HOLIDAY RESORT,A,Galle,80.16190477,6.291884875,United Kingdom
166,Restaurants,NOBEL RESTAURANT,B,Gampaha,79.84789,7.252517,Australia
167,Restaurants,RANGOON RESTAURANT,B,Kalutara,79.99889854,6.43264941,United Kingdom
168,Restaurants,RAVI RESTAURANT,A,Jaffna,80.00917182,9.664925571,United Kingdom
169,Restaurants,RAMPART RESTAURANT,A,Galle,80.223192,6.043279,United Kingdom
170,Restaurants,RATHNAGIRI RASAHALA,B,Kurunegala,80.366868,7.486218,United Kingdom
171,Restaurants,ROCK VIEW RESTAURANT,B,Kegalle,80.4889756,7.255931871,United States of America
172,Restaurants,RIVERSIDE PARK RESTAURANT,A,Colombo,80.08171057,6.908836328,Netherlands
